index,label
1591741.0,0
825652.0,3
179386.0,3
531348.0,0
1483004.0,2
849521.0,3
398396.0,3
675561.0,3
2007598.0,2
455752.0,4
1881823.0,1
374745.0,1
422300.0,0
73216.0,1
1109689.0,1
1007202.0,2
1948150.0,0
996258.0,0
950113.0,3
612957.0,3
2061906.0,3
160360.0,3
880166.0,2
766183.0,3
1871836.0,2
879255.0,0
11311.0,0
483106.0,0
483896.0,0
539617.0,3
932874.0,0
698208.0,1
1229412.0,2
439105.0,3
1053224.0,3
580064.0,3
1464748.0,3
903769.0,0
1696241.0,1
672552.0,3
1772261.0,3
741411.0,0
750163.0,3
515271.0,0
1740708.0,1
1987765.0,1
84322.0,1
1495961.0,1
1313613.0,3
944133.0,3
1629394.0,3
494296.0,3
129457.0,3
835642.0,3
398504.0,3
668662.0,3
1611141.0,3
1451127.0,3
1477256.0,3
91182.0,3
1959437.0,3
508018.0,2
1762242.0,0
1836139.0,2
1593258.0,2
1709971.0,0
2096121.0,0
352086.0,0
1755750.0,0
892578.0,0
1495984.0,0
1999943.0,3
1156815.0,3
1640316.0,3
1453536.0,2
1428652.0,2
1213563.0,2
549068.0,0
117066.0,3
1119534.0,3
1220077.0,3
842645.0,3
705880.0,3
1085806.0,3
1453012.0,3
704292.0,0
1402234.0,2
677612.0,2
349848.0,2
1272536.0,3
43833.0,0
1620753.0,0
1882651.0,0
291511.0,0
943291.0,4
121980.0,4
1916572.0,2
1779722.0,0
1715723.0,2
41879.0,3
525850.0,2
84438.0,2
1591840.0,2
10371.0,0
1413244.0,1
1257239.0,1
330141.0,4
1382429.0,0
1910777.0,0
1491001.0,0
399477.0,0
867873.0,0
922651.0,0
1666428.0,0
277883.0,0
1739582.0,2
1288298.0,2
614566.0,3
945959.0,2
371361.0,0
11269.0,0
408012.0,0
1671980.0,0
1156155.0,2
1295908.0,0
646993.0,3
175741.0,3
1136963.0,3
254029.0,0
1107890.0,0
156268.0,0
1106999.0,3
1478594.0,3
615627.0,3
1229444.0,3
605020.0,3
1233488.0,3
877394.0,2
306076.0,2
1086857.0,2
705064.0,3
1201599.0,0
15712.0,3
413328.0,2
1058644.0,3
555649.0,2
173490.0,2
331284.0,4
668484.0,4
1185012.0,4
1901189.0,4
2065364.0,4
1809394.0,0
328117.0,0
1660730.0,0
520054.0,0
1035740.0,3
2050303.0,0
473425.0,2
1713815.0,3
314497.0,2
624964.0,2
1174886.0,3
639466.0,0
1088678.0,3
1201815.0,0
725019.0,0
1323905.0,3
1209830.0,0
868222.0,3
976932.0,3
73832.0,1
1596977.0,4
516163.0,3
1087254.0,3
1218201.0,3
570267.0,3
